compartments,abundance,growth_rate,reactions,metabolites
Adlercreutzia_equolifaciens_DSM_19450,0.010746268656716417,0.0,942,904
Alistipes_finegoldii_DSM_17242,0.0023880597014925373,48.65993249075514,1147,1007
Alistipes_shahii_WAL_8301,0.0013930348258706469,43.77253874113906,2225,1361
Anaerostipes_hadrus_DSM_3319,0.04019900497512438,0.0,1704,1331
Bacteroides_caccae_ATCC_43185,0.013532338308457712,0.0,2381,1461
Bacteroides_cellulosilyticus_DSM_14838,0.00417910447761194,0.0,2278,1513
Bacteroides_dorei_DSM_17855,0.006169154228855721,0.0,2345,1467
Bacteroides_fragilis_NCTC_9343,0.005771144278606965,0.0,2444,1512
Bacteroides_ovatus_SD_CC_2a,0.02666666666666667,0.0,2350,1436
Bacteroides_thetaiotaomicron_VPI_5482,0.005970149253731343,0.0,2524,1549
Bacteroides_vulgatus_ATCC_8482,0.10308457711442787,0.0,2474,1519
Bifidobacterium_adolescentis_ATCC_15703,0.0809950248756219,0.0,1129,991
Bifidobacterium_animalis_lactis_CNCM_I_2494,0.0013930348258706469,23.947332755962236,1003,907
Bifidobacterium_bifidum_S17,0.0015920398009950248,0.0,1040,941
Bifidobacterium_breve_HPH0326,0.001791044776119403,0.0,1987,1334
Bifidobacterium_catenulatum_DSM_16992,0.006766169154228856,0.0,1541,1142
Bifidobacterium_kashiwanohense_DSM_21854,0.005373134328358209,43.08729437145399,1137,1029
Bifidobacterium_longum_DJO10A,0.11044776119402985,0.0,2043,1386
Bifidobacterium_pseudocatenulatum_DSM_20438,0.015920398009950248,0.0,1583,1185
Blautia_hansenii_VPI_C7_24_DSM_20583,0.008955223880597015,0.0,2055,1297
Campylobacter_coli_JV20,0.0013930348258706469,0.0,1009,887
Clostridium_bolteae_ATCC_BAA_613,0.01472636815920398,0.0,1932,1450
Clostridium_difficile_NAP07,0.013930348258706468,0.0,1689,1331
Enterococcus_faecium_TX1330,0.004975124378109453,0.0,1528,1175
Eubacterium_cellulosolvens_6,0.0015920398009950248,0.0,1205,1082
Eubacterium_eligens_ATCC_27750,0.014129353233830846,1.4210854715202004e-13,1211,1077
Eubacterium_hallii_L2_7,0.02527363184079602,0.19139682143251766,1181,1060
Eubacterium_rectale_M104_1,0.3611940298507463,0.0,1785,1348
Flavonifractor_plautii_ATCC_29863,0.003980099502487562,0.18098298144102254,1207,1105
Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378,0.001791044776119403,0.0,958,908
Haemophilus_parainfluenzae_T3T1,0.006169154228855721,6.811004204735508,1284,1097
Odoribacter_splanchnicus_1651_6_DSM_20712,0.0025870646766169153,0.0,1136,1034
Parabacteroides_distasonis_ATCC_8503,0.004975124378109453,0.0,2519,1570
Roseburia_hominis_A2_183,0.028855721393034824,0.0,1180,1040
Ruminococcus_bicirculans_80_3,0.04099502487562189,0.0,1032,926
Ruminococcus_champanellensis_18P13,0.0013930348258706469,0.0,1404,1140
Streptococcus_parasanguinis_ATCC_903,0.006169154228855721,0.0,1183,1017
Streptococcus_salivarius_JIM8777,0.01253731343283582,0.0,1190,1005
medium,,,752,752
