compartments,abundance,growth_rate,reactions,metabolites
Adlercreutzia_equolifaciens_DSM_19450,0.01482101237076436,0.0,942,904
Akkermansia_muciniphila_ATCC_BAA_835,0.005557879639036636,2.7000623958883807e-12,2274,1386
Alistipes_finegoldii_DSM_17242,0.011832905037948965,14.03517528204176,1147,1007
Alistipes_shahii_WAL_8301,0.04434351281898047,6.870106210644508,2225,1361
Anaerostipes_hadrus_DSM_3319,0.059762146656307906,1.4637180356658064e-12,1704,1331
Bacteroides_caccae_ATCC_43185,0.018048168290204992,0.0,2381,1461
Bacteroides_cellulosilyticus_DSM_14838,0.011952429331261581,0.0,2278,1513
Bacteroides_dorei_DSM_17855,0.014701488077451745,-1.0271523215310552e-12,2345,1467
Bacteroides_fragilis_NCTC_9343,0.010518137811510193,0.0,2444,1512
Bacteroides_ovatus_SD_CC_2a,0.07876650929301382,0.0,2350,1436
Bacteroides_thetaiotaomicron_VPI_5482,0.013864818024263433,3.322697502264949e-12,2524,1549
Bacteroides_vulgatus_ATCC_8482,0.05796928225661867,0.0,2474,1519
Bifidobacterium_adolescentis_ATCC_15703,0.013267196557700357,0.0,1129,991
Bifidobacterium_animalis_lactis_CNCM_I_2494,0.0047809717325046335,0.0,1003,907
Bifidobacterium_catenulatum_DSM_16992,0.004422398852566785,0.0,1541,1142
Bifidobacterium_kashiwanohense_DSM_21854,0.0016733401063766216,13.058906104265212,1137,1029
Bifidobacterium_longum_DJO10A,0.007649554772007412,1.3248846464364306e-12,2043,1386
Blautia_hansenii_VPI_C7_24_DSM_20583,0.01422339090420128,0.0,2055,1297
Campylobacter_coli_JV20,0.0014342915197513898,0.0,1009,887
Campylobacter_jejuni_jejuni_ICDCCJ07004,0.0021514372796270845,7.970374360510846e-12,1054,931
Citrobacter_amalonaticus_Y19,0.0010159564931572344,0.0,1827,1410
Citrobacter_freundii_ATCC_8090,0.00020319129863144688,0.0,1867,1450
Clostridium_bolteae_ATCC_BAA_613,0.008964321998446188,0.0,1932,1450
Clostridium_difficile_NAP07,0.013386720851012973,0.0,1689,1331
Desulfovibrio_piger_ATCC_29098,0.015777206717265287,0.0,980,890
Enterobacter_cloacae_EcWSU1,0.00046614474391920167,0.0,1800,1414
Enterococcus_faecium_TX1330,0.0031076316261280114,-2.0532464617417645e-12,1528,1175
Escherichia_coli_SE11,0.00574911850833682,0.0,2356,1643
Eubacterium_cellulosolvens_6,0.0023904858662523168,0.0,1205,1082
Eubacterium_eligens_ATCC_27750,0.08390605390545629,0.0,1211,1077
Eubacterium_hallii_L2_7,0.04601685292535709,-4.0807714605014697e-11,1181,1060
Eubacterium_limosum_KIST612,0.0015538158130640057,-3.3306690738754696e-13,1339,1164
Eubacterium_rectale_M104_1,0.23462618777266483,2.8715918531929674e-13,1785,1348
Flavonifractor_plautii_ATCC_29863,0.006573836132193871,0.0,1207,1105
Fusobacterium_nucleatum_subsp_animalis_3_1_33,0.00021514372796270845,0.0,975,917
Klebsiella_oxytoca_KCTC_1686,0.0036933006633598285,0.0,1885,1489
Klebsiella_pneumoniae_pneumoniae_MGH78578,0.06163867806131598,0.0,1817,1379
Lactobacillus_casei_ATCC_334,0.0007769079065320029,0.0,1980,1349
Lactobacillus_paracasei_subsp_paracasei_ATCC_25302,0.0056176417856929435,0.0,1816,1337
Lactobacillus_plantarum_JDM1,0.00040638259726289376,0.0,1235,1051
Lactobacillus_rhamnosus_GG_ATCC_53103,0.00016733401063766216,0.0,1981,1427
Lactobacillus_salivarius_salivarius_UCC118,0.00029881073328153954,0.0,1841,1243
Lactococcus_lactis_subsp_lactis_Il1403,0.0021514372796270845,1.0036416142611415e-12,1295,1118
Methanobrevibacter_smithii_ATCC_35061,0.0033466802127532424,-1.5143442055887135e-13,714,742
Odoribacter_splanchnicus_1651_6_DSM_20712,0.013625769437638201,0.0,1136,1034
Oxalobacter_formigenes_OXCC13,0.001314767226438774,0.0,941,877
Parabacteroides_distasonis_ATCC_8503,0.0029881073328153953,1.1817213874110166e-12,2519,1570
Pediococcus_acidilactici_DSM_20284,0.002605629594215025,0.0,1833,1202
Pediococcus_pentosaceus_ATCC_25745,0.0005139544612442479,0.0,1076,955
Roseburia_hominis_A2_183,0.03274965636765673,0.0,1180,1040
Ruminococcus_albus_7,0.001314767226438774,0.0,1179,1067
Ruminococcus_bicirculans_80_3,0.039562541086475826,0.0,1032,926
Ruminococcus_champanellensis_18P13,0.0022709615729397006,0.0,1404,1140
Salmonella_enterica_enterica_sv_Typhimurium_LT2,0.0001314767226438774,0.0,2361,1651
Streptococcus_agalactiae_A909,0.0017928643996892371,0.0,1286,1082
Streptococcus_parasanguinis_ATCC_903,0.00016733401063766216,0.0,1183,1017
Streptococcus_salivarius_JIM8777,0.004183350265941553,0.0,1190,1005
Streptococcus_thermophilus_LMG_18311,0.0029881073328153953,0.0,954,851
medium,,,783,783
