id,species,file,abundance
Clostridium_butyricum_DSM_10702,Clostridium_butyricum,dbs/Clostridium_butyricum_DSM_10702.xml,0.598
Clostridium_perfringens_ATCC_13124,Clostridium_perfringens,dbs/Clostridium_perfringens_ATCC_13124.xml,0.2288
Clostridium_botulinum_A_str_ATCC_3502,Clostridium_botulinum,dbs/Clostridium_botulinum_A_str_ATCC_3502.xml,0.013200000000000002
Clostridium_saccharoperbutylacetonicum_N1_4_HMT,Clostridium_saccharoperbutylacetonicum,dbs/Clostridium_saccharoperbutylacetonicum_N1_4_HMT.xml,0.0068000000000000005
Clostridium_beijerinckii_NCIMB_8052,Clostridium_beijerinckii,dbs/Clostridium_beijerinckii_NCIMB_8052.xml,0.005200000000000001
Anaerostipes_hadrus_DSM_3319,Anaerostipes_hadrus,dbs/Anaerostipes_hadrus_DSM_3319.xml,0.0184
Blautia_hansenii_VPI_C7_24_DSM_20583,Blautia_hansenii,dbs/Blautia_hansenii_VPI_C7_24_DSM_20583.xml,0.008
Roseburia_hominis_A2_183,Roseburia_hominis,dbs/Roseburia_hominis_A2_183.xml,0.008
Cellulosilyticum_lentocellum_DSM_5427,Cellulosilyticum_lentocellum,dbs/Cellulosilyticum_lentocellum_DSM_5427.xml,0.0072
Eubacterium_rectale_M104_1,Eubacterium_rectale,dbs/Eubacterium_rectale_M104_1.xml,0.005600000000000001
Clostridium_difficile_NAP07,Clostridium_difficile,dbs/Clostridium_difficile_NAP07.xml,0.044800000000000006
Veillonella_parvula_Te3_DSM_2008,Veillonella_parvula,dbs/Veillonella_parvula_Te3_DSM_2008.xml,0.2252
Lactobacillus_acidophilus_ATCC_4796,Lactobacillus_acidophilus,dbs/Lactobacillus_acidophilus_ATCC_4796.xml,0.0216
Lactobacillus_rhamnosus_GG_ATCC_53103,Lactobacillus_rhamnosus,dbs/Lactobacillus_rhamnosus_GG_ATCC_53103.xml,0.008
Streptococcus_salivarius_JIM8777,Streptococcus_salivarius,dbs/Streptococcus_salivarius_JIM8777.xml,0.0064
Lactococcus_lactis_subsp_lactis_Il1403,Lactococcus_lactis,dbs/Lactococcus_lactis_subsp_lactis_Il1403.xml,0.01
Enterococcus_faecalis_OG1RF_ATCC_47077,Enterococcus_faecalis,dbs/Enterococcus_faecalis_OG1RF_ATCC_47077.xml,0.0048
Bacillus_cereus_G9842,Bacillus_cereus,dbs/Bacillus_cereus_G9842.xml,0.0068000000000000005
Bifidobacterium_dentium_ATCC_27678,Bifidobacterium_dentium,dbs/Bifidobacterium_dentium_ATCC_27678.xml,0.11320000000000001
Bifidobacterium_animalis_lactis_CNCM_I_2494,Bifidobacterium_animalis,dbs/Bifidobacterium_animalis_lactis_CNCM_I_2494.xml,0.0572
Escherichia_coli_SE11,Escherichia_coli,dbs/Escherichia_coli_SE11.xml,0.4576
Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella_pneumoniae,dbs/Klebsiella_pneumoniae_pneumoniae_MGH78578.xml,0.3104
Klebsiella_oxytoca_KCTC_1686,Klebsiella_oxytoca,dbs/Klebsiella_oxytoca_KCTC_1686.xml,0.0236
Enterobacter_cloacae_EcWSU1,Enterobacter_cloacae,dbs/Enterobacter_cloacae_EcWSU1.xml,0.0536
Citrobacter_freundii_ATCC_8090,Citrobacter_freundii,dbs/Citrobacter_freundii_ATCC_8090.xml,0.0044
Yersinia_enterocolitica_subsp_enterocolitica_8081,Yersinia_enterocolitica,dbs/Yersinia_enterocolitica_subsp_enterocolitica_8081.xml,0.054400000000000004
