compartments,abundance,growth_rate,reactions,metabolites
Citrobacter_amalonaticus_Y19,0.002179598953792502,0.0,1827,1410
Citrobacter_freundii_ATCC_8090,0.02048823016564952,21.673059312842327,1867,1450
Citrobacter_koseri_ATCC_BAA_895,0.0011209366048075726,0.0,1765,1321
Cronobacter_sakazakii_ATCC_BAA_894,0.001556856395566073,6.6304864263915935,1685,1335
Enterobacter_asburiae_LF7a,0.002926890023664217,1.6268247809944156,1812,1423
Enterobacter_cloacae_EcWSU1,0.006850168140490723,2.359625240454193,1800,1414
Enterobacter_hormaechei_YT3,0.0012454851164528586,2.7495229121703844,1742,1381
Escherichia_albertii_TW07627,0.0009341138373396439,0.0,1734,1350
Escherichia_coli_SE11,0.10293934487482875,0.0,2356,1643
Escherichia_fergusonii_ATCC_35469,0.0008095653256943581,0.0,1787,1403
Eubacterium_rectale_M104_1,0.6227425582264292,0.0,1785,1348
Klebsiella_oxytoca_KCTC_1686,0.08942583136131524,0.15489386069605882,1885,1489
Klebsiella_pneumoniae_pneumoniae_MGH78578,0.06787893884668078,0.0,1817,1379
Lactobacillus_casei_ATCC_334,0.003300535558600075,0.0,1980,1349
Lactobacillus_paracasei_subsp_paracasei_ATCC_25302,0.013513513513513514,0.0,1816,1337
Lactobacillus_plantarum_JDM1,0.00554240876821522,0.0,1235,1051
Lactobacillus_rhamnosus_GG_ATCC_53103,0.008656121559347366,0.0,1981,1427
Lactobacillus_salivarius_salivarius_UCC118,0.02347739444513638,0.0,1841,1243
Pediococcus_acidilactici_DSM_20284,0.005106488977456719,0.0,1833,1202
Salmonella_enterica_enterica_sv_Typhimurium_LT2,0.005417860256569934,0.0,2361,1651
Streptococcus_salivarius_JIM8777,0.0019927761863245737,0.0,1190,1005
Streptococcus_thermophilus_LMG_18311,0.0027400672561962887,0.0,954,851
Veillonella_parvula_Te3_DSM_2008,0.00915431560592851,0.0,1105,979
medium,,,688,688
